Serial,A,B
0,1,0
1,1,0
2,1,0
3,0,1
4,0,1
5,1,0
6,0,1
7,1,0
8,0,1
9,1,0
10,1,0
11,0,1
12,0,1
13,0,1
14,1,0
15,0,1
16,0,1
17,0,1
18,0,1
19,1,0
20,1,0
21,0,1
22,0,1
23,1,0
24,0,1
25,0,1
26,1,0
27,1,0
28,1,0
29,0,1
30,0,1
31,0,1
32,1,0
33,0,1
34,0,1
35,1,0
36,0,1
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,0,1
46,0,1
47,0,1
48,1,0
49,0,1
50,1,0
51,0,1
52,0,1
53,0,1
54,1,0
55,0,1
56,1,0
57,0,1
58,1,0
59,0,1
60,1,0
61,1,0
62,1,0
